gid,sub_id,basin_k,s_local,N,mu_z,cov_z,pi,fallback_only,vbgmm_method,dt_s
3,16,2,1,237,"[0.4339319358908211, 4.511683055444274, 5.69885616303186]","[[0.00615343478194308, -0.018462612755526492, -0.0033755470465847625], [-0.018462612755526495, 0.0919040090298088, 0.009470220650050603], [-0.003375547046584762, 0.009470220650050602, 0.04497134774129564]]",0.15357149269778164,False,vbgmm,4.945990085601807
3,17,2,2,87,"[0.32969407784762045, 5.02895727944183, 3.593513362272008]","[[0.0014389139542532999, -0.006970785322934826, 0.010612630182169926], [-0.006970785322934826, 0.08555052597025337, -0.11473796066149464], [0.010612630182169926, -0.11473796066149464, 1.6828104197138543]]",0.06307424554948754,False,vbgmm,4.299466133117676
3,18,2,3,101,"[0.4194353071887927, 4.249545498220654, 4.6566946387177355]","[[0.005312431870569006, -0.011448885717838562, 0.02360665607234977], [-0.011448885717838562, 0.14864244079578803, -0.025887778480752372], [0.023606656072349772, -0.025887778480752376, 0.24692282875403593]]",0.07106246834868668,False,vbgmm,4.193043947219849
3,19,2,4,155,"[0.47023748508768076, 3.810137550592112, 5.571372404531186]","[[0.007778484733945521, -0.003075509049259441, 0.008250177865946224], [-0.0030755090492594413, 0.07175437518030779, 0.0046387335261699495], [0.008250177865946224, 0.004638733526169951, 0.08997135695403624]]",0.09928272396293951,False,vbgmm,4.643898010253906
3,20,2,5,86,"[0.676302870665391, 3.525510722034568, 3.5655662694680768]","[[0.02393490049511377, -0.11654403626486462, -0.03297697451388314], [-0.11654403626486463, 0.5955903068638471, 0.15010925397419797], [-0.03297697451388314, 0.15010925397419797, 1.806605872019836]]",0.059753981193052905,False,vbgmm,3.938563108444214
3,21,2,6,369,"[0.7545883613495642, 3.1889519133297846, 5.629042083287782]","[[0.01717224107756669, -0.046285360389590156, -0.0011410200164636071], [-0.04628536038959015, 0.34621325110228085, 0.06463454619871593], [-0.0011410200164636065, 0.06463454619871593, 0.06951307018762666]]",0.2186229661627921,False,vbgmm,6.6403021812438965
3,22,2,7,492,"[0.32941768059876064, 4.766523505456358, 5.3762030430365035]","[[0.0009077033061727196, -0.004491682432405364, 0.0003989872187726865], [-0.004491682432405364, 0.11974660638848991, -0.021033589948374714], [0.00039898721877268633, -0.021033589948374714, 0.166155895986151]]",0.2620653078866823,False,vbgmm,9.173624753952026
3,23,3,0,704,"[0.6940795328349, 4.990083027618708, 5.00636225679356]","[[0.01924531859343039, -0.04559633964337388, -0.008800519715777099], [-0.04559633964337388, 0.1302547687580136, 0.0021791912379178443], [-0.008800519715777099, 0.0021791912379178443, 0.34220247653983044]]",0.19939036816845715,False,vbgmm,17.650721311569214
3,24,3,1,247,"[0.8582805968543581, 5.043555620409198, 2.3909591932250116]","[[0.011344635843625942, -0.013174672808723033, 0.05487835207503596], [-0.013174672808723033, 0.12615051328016116, -0.2688160339648152], [0.05487835207503596, -0.2688160339648152, 2.9709080184185446]]",0.08809647430905092,False,vbgmm,4.860893249511719
3,25,3,2,397,"[0.7238322936131469, 5.325214615137357, 5.035147551293382]","[[0.013254787188257339, -0.0049447456813265555, -0.005780824108057355], [-0.0049447456813265555, 0.027644661401078807, -0.0313847886462233], [-0.005780824108057354, -0.0313847886462233, 0.19760616925605043]]",0.14559991607250075,False,vbgmm,7.139348983764648
3,26,3,3,427,"[0.6910279469942994, 5.6185122904166915, 4.599472100090818]","[[0.02460672375679225, -0.0003028340345321757, -0.003387307060585663], [-0.0003028340345321757, 0.004612554098463257, 0.003965805540892936], [-0.0033873070605856636, 0.003965805540892936, 0.5542254410418799]]",0.1288757107349981,False,vbgmm,7.876844644546509
3,27,3,4,546,"[0.9109570203107074, 4.886509708637793, 5.370235675042475]","[[0.0037266931237773335, -0.005560031867358603, -0.0022215633200697994], [-0.005560031867358603, 0.13138955023898585, -0.02591371590925743], [-0.0022215633200697985, -0.02591371590925743, 0.13817059772884444]]",0.15687895330381055,False,vbgmm,11.377646684646606
3,28,3,5,304,"[0.6695399109248732, 5.506060681660174, 5.772709105713273]","[[0.028157814162840047, -0.0045915097723334165, -0.002449073508296864], [-0.004591509772333416, 0.017847744750134543, 0.0004233696744847183], [-0.0024490735082968646, 0.0004233696744847182, 0.03858969789260281]]",0.08074651170513722,False,vbgmm,5.551904916763306
